# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 1834 n39 n3 2 N 
58.0000 M2 1273 n16 n39 2 N 
84.0000 M3 1122 n31 n18 2 N 
112.0000 M4 1257 n4 n40 2 N 
144.0000 M5 1671 n10 n12 2 N 
170.0000 M6 1032 n5 n14 2 N 
203.0000 M7 1010 n40 n0 2 N 
233.0000 M8 1877 n20 n0 2 N 
265.0000 M9 1686 n20 n12 2 N 
291.0000 M10 1541 n29 n37 2 N 
320.0000 M11 1047 n40 n34 2 N 
345.0000 M12 1239 n16 n15 2 N 
371.0000 M13 1311 n24 n18 2 N 
397.0000 M14 1271 n25 n1 2 N 
424.0000 M15 1268 n32 n10 2 N 
454.0000 M16 1969 n29 n3 2 N 
481.0000 M17 1700 n40 n36 2 N 
506.0000 M18 1959 n13 n18 2 N 
534.0000 M19 1570 n2 n37 2 N 
559.0000 M20 1202 n31 n4 2 N 
589.0000 M21 1936 n0 n9 2 N 
616.0000 M22 1104 n24 n22 2 N 
641.0000 M23 1884 n28 n26 2 N 
668.0000 M24 1997 n20 n34 2 N 
702.0000 M25 1342 n27 n11 2 N 
730.0000 M26 1773 n11 n20 2 N 
759.0000 M27 1078 n6 n37 2 N 
787.0000 M28 1749 n16 n7 2 N 
812.0000 M29 1064 n38 n23 2 N 
841.0000 M30 1607 n38 n23 2 N 
875.0000 M31 1097 n33 n11 2 N 
902.0000 M32 1516 n12 n26 2 N 
931.0000 M33 1576 n34 n19 2 N 
956.0000 M34 1913 n34 n24 2 N 
982.0000 M35 1000 n34 n11 2 N 
1011.0000 M36 1517 n8 n12 2 N 
1038.0000 M37 1114 n13 n5 2 N 
1069.0000 M38 1038 n37 n38 2 N 
1096.0000 M39 1125 n20 n33 2 N 
1122.0000 M40 1457 n10 n39 2 N 
1153.0000 M41 1688 n24 n0 2 N 
1186.0000 M42 1417 n19 n9 2 N 
1213.0000 M43 1067 n18 n29 2 N 
1244.0000 M44 1117 n24 n17 2 N 
1276.0000 M45 1228 n0 n5 2 N 
1308.0000 M46 1628 n33 n24 2 N 
1333.0000 M47 1661 n8 n5 2 N 
1365.0000 M48 1393 n19 n3 2 N 
1390.0000 M49 1448 n35 n37 2 N 
1418.0000 M50 1185 n39 n35 2 N 
1443.0000 M51 1794 n13 n38 2 N 
1474.0000 M52 1477 n22 n13 2 N 
1505.0000 M53 1267 n28 n9 2 N 
1539.0000 M54 1877 n25 n35 2 N 
1564.0000 M55 1682 n22 n3 2 N 
1597.0000 M56 1168 n17 n7 2 N 
1628.0000 M57 1837 n36 n17 2 N 
1659.0000 M58 1524 n24 n13 2 N 
1684.0000 M59 1779 n19 n32 2 N 
1718.0000 M60 1360 n20 n27 2 N 
1752.0000 M61 1604 n21 n0 2 N 
1785.0000 M62 1128 n12 n39 2 N 
1810.0000 M63 1052 n25 n16 2 N 
1837.0000 M64 1842 n33 n0 2 N 
1869.0000 M65 1837 n4 n6 2 N 
1895.0000 M66 1229 n23 n18 2 N 
1929.0000 M67 1182 n36 n2 2 N 
1957.0000 M68 1683 n23 n1 2 N 
1986.0000 M69 1524 n25 n26 2 N 
2020.0000 M70 1924 n18 n33 2 N 
